"Parameter","Environment","Ab_BP","Ab_BPsd","Ab_BPCIl","Ab_BPCIu","v1970","v2010","p","R2"
"Biomass_bio","2015/KIE/LN_NF_RF",5.54082068480964,0.373946295639384,4.80293832808058,6.2787030415387,1387.67864858794,1609.31147598032,0,0.55
"Biomass_bio","2015/QLB/HN_NF_RF",3.94189472377673,0.192346816757895,3.56235005623035,4.3214393913231,967.789206778204,1125.46499572927,0,0.7
"Biomass_bio","2015/QLB/HN_WF_RF",3.89943718596569,0.244765783526668,3.41645779747762,4.38241657445377,1022.40976381982,1178.38725125844,0,0.59
"Biomass_bio","2015/QLB/LN_NF_RF",1.38545896334673,0.282130157348098,0.82875104074944,1.94216688594402,1091.95699871601,1147.37535724988,0.0042,0.12
"Biomass_bio","2016/GGE/HN_NF_RF",3.13707800176289,0.363715259305972,2.41938384127889,3.85477216224689,1191.15302741811,1316.63614748863,0,0.29
"Biomass_bio","2016/GGE/HN_WF_RF",1.45669621627868,0.25167511278827,0.960083126324858,1.9533093062325,1438.99090195611,1497.25875060726,0.005,0.16
"Biomass_bio","2016/GGE/LN_NF_RF",0.16496191315294,0.28303176958849,-0.393525098507552,0.723448924813432,1128.02654863004,1134.62502515616,0.1576,0
"Biomass_bio","2016/HAN/HN_NF_RF",4.7780793840905,0.482387909580013,3.82621669223017,5.72994207595083,1408.5870509182,1599.71022628182,0,0.35
"Biomass_bio","2016/HAN/HN_WF_RF",6.06601134588375,0.521540617283795,5.03689132437561,7.09513136739189,1615.7975717714,1858.43802560675,0,0.43
"Biomass_bio","2016/HAN/LN_NF_RF",4.75250422499014,0.416871605877813,3.92992032300871,5.57508812697157,1299.58460554969,1489.6847745493,0,0.42
"Biomass_bio","2016/KAL/HN_NF_RF",8.74804036437581,0.505266033639485,7.75091947156923,9.74516125718239,1060.12670963945,1410.04832421449,0,0.63
"Biomass_bio","2016/KAL/HN_WF_RF",4.94495886433867,0.662337902688517,3.63690670707146,6.25301102160587,1508.28052381228,1706.07887838583,0,0.26
"Biomass_bio","2016/KAL/LN_NF_RF",3.56726423699842,0.70601925817405,2.1733909204829,4.96113755351393,1255.75798816962,1398.44855764955,1e-04,0.13
"Biomass_bio","2016/KIE/HN_NF_RF",7.18570559743469,0.33471014392768,6.52524522464188,7.8461659702275,1195.50306551933,1482.93128941672,0,0.72
"Biomass_bio","2016/KIE/HN_WF_RF",1.85996266927945,0.362011800749003,1.14562982572588,2.57429551283301,1528.97545709742,1603.37396386859,0.0036,0.13
"Biomass_bio","2016/KIE/LN_NF_RF",0.824454333097082,0.297034769518552,0.238336170359124,1.41057249583504,1274.3870483031,1307.36522162699,0.5566,0.04
"Biomass_bio","2016/QLB/HN_NF_RF",4.51510180182973,0.371384928838154,3.78227361302205,5.2479299906374,1406.20785186462,1586.81192393781,0,0.45
"Biomass_bio","2016/QLB/HN_WF_RF",4.98819896530827,0.290892122547592,4.41420166290866,5.56219626770789,1624.70307747799,1824.23103609032,0,0.62
"Biomass_bio","2016/QLB/LN_NF_RF",2.05042150695855,0.221678395294889,1.61299886455364,2.48784414936347,1277.3147608287,1359.33162110704,0,0.32
"Biomass_bio","2017/GGE/HN_NF_RF",1.1629035880898,0.328705547553342,0.514291669942936,1.81151550623666,1528.59809851963,1575.11424204322,0.2476,0.07
"Biomass_bio","2017/GGE/HN_WF_RF",1.87189929767707,0.42323620360904,1.03675657527593,2.70704202007821,1327.09681211443,1401.97278402151,0.0058,0.1
"Biomass_bio","2017/GGE/LN_NF_RF",1.56033529132085,0.332150085206815,0.904926505304928,2.21574407733678,1465.73374936041,1528.14716101325,0.0164,0.11
"Biomass_bio","2017/HAN/HN_NF_RF",1.95345258351675,0.363843663681652,1.23550505156084,2.67140011547267,1612.97284184599,1691.11094518666,0.0025,0.14
"Biomass_bio","2017/HAN/HN_WF_RF",3.76577981441707,0.316556513341582,3.1411407450474,4.39041888378673,1548.11635940191,1698.74755197859,0,0.44
"Biomass_bio","2017/HAN/LN_NF_RF",-1.36900925860612,0.408559033092761,-2.17519053574906,-0.562827981463175,1533.39040791669,1478.63003757245,0,0.06
"Biomass_bio","2017/KAL/HN_NF_RF",0.563893185862326,0.487506092065589,-0.398068861436648,1.5258552331613,1576.9397349917,1599.49546242619,0.6331,0.01
"Biomass_bio","2017/KAL/HN_WF_RF",1.27880255996362,0.560873039879743,0.172070589843078,2.38553453008417,1592.86285508278,1644.01495748133,0.4098,0.03
"Biomass_bio","2017/KAL/LN_NF_RF",-0.481794968387161,0.51395605470809,-1.49594889724141,0.532358960467087,1416.93827362695,1397.66647489147,0.0224,0
"Biomass_bio","2017/KIE/HN_NF_RF",2.61864239410738,0.415770843881882,1.7981995286424,3.43908525957235,1591.87035335177,1696.61604911607,0,0.18
"Biomass_bio","2017/KIE/HN_WF_RF",5.01891521200716,0.340067331737815,4.34788387110241,5.68994655291191,1598.61779945895,1799.37440793924,0,0.55
"Biomass_bio","2017/KIE/LN_NF_RF",4.60369775153305,0.357077058295712,3.89907565209799,5.3083198509681,1347.69438674704,1531.84229680836,0,0.48
"Biomass_bio","2017/QLB/HN_NF_RF",4.47968373598674,0.303157499687006,3.88148401335903,5.07788345861444,1193.1555086949,1372.34285813437,0,0.55
"Biomass_bio","2017/QLB/HN_WF_RF",3.67994094580535,0.245622283391677,3.19527148538368,4.16461040622703,1374.72478313426,1521.92242096647,0,0.55
"Biomass_bio","2017/QLB/LN_NF_RF",1.22682749813247,0.276261580157035,0.681699632936159,1.77195536332878,1421.35583664764,1470.42893657294,0.0732,0.1
"Crude_protein","2015/GGE/HN_WF_RF",-0.0338463382284749,0.00167114038345856,-0.0371438839427949,-0.0305487925141549,13.2422863038904,11.8884327747514,0,0.7
"Crude_protein","2015/HAN/HN_NF_RF",-0.0196568164423747,0.00142982185405916,-0.0224781849963055,-0.0168354478884439,13.4044623622513,12.6181897045564,0,0.51
"Crude_protein","2015/HAN/HN_WF_RF",-0.0266980982114024,0.00145617598602039,-0.0295714695508344,-0.0238247268719703,13.9773917474611,12.909467819005,0,0.65
"Crude_protein","2015/HAN/LN_NF_RF",-0.0389141058892215,0.00183913345980113,-0.0425431407198433,-0.0352850710585997,11.5950079227597,10.0384436871908,0,0.71
"Crude_protein","2015/KAL/HN_NF_RF",0.00509444645315848,0.00141469526887993,0.00230292614335112,0.00788596676296585,14.2272043948745,14.4309822530009,0.1402,0.07
"Crude_protein","2015/KAL/HN_WF_RF",-0.0129321980434474,0.00113542478584373,-0.0151726532281537,-0.0106917428587412,14.9792673646659,14.461979442928,0,0.42
"Crude_protein","2015/KAL/LN_NF_RF",0.00207620025385813,0.00121679523121281,-0.000324817601737452,0.00447721810945371,11.5532974380412,11.6363454481955,0.0025,0.02
"Crude_protein","2015/KIE/HN_NF_RF",-0.0126808658779872,0.00175147102330235,-0.016136922486884,-0.00922480926909031,12.9114242052091,12.4041895700896,0,0.23
